score,hyperparameters,iteration
0.7196768133592244,"{'boosting_type': 'gbdt', 'num_leaves': 125, 'learning_rate': 0.04655206743534537, 'subsample_for_bin': 260000, 'min_child_samples': 435, 'reg_alpha': 0.6938775510204082, 'reg_lambda': 0.2857142857142857, 'colsample_bytree': 0.6888888888888889, 'subsample': 0.9646464646464648, 'is_unbalance': True, 'metric': 'auc', 'verbose': 1, 'n_estimators': 75}",0
0.7112709990408135,"{'boosting_type': 'gbdt', 'num_leaves': 85, 'learning_rate': 0.02949448212754248, 'subsample_for_bin': 260000, 'min_child_samples': 175, 'reg_alpha': 0.42857142857142855, 'reg_lambda': 0.04081632653061224, 'colsample_bytree': 0.9555555555555555, 'subsample': 0.5303030303030303, 'is_unbalance': True, 'metric': 'auc', 'verbose': 1, 'n_estimators': 58}",1
0.714344277098377,"{'boosting_type': 'dart', 'num_leaves': 80, 'learning_rate': 0.12484392144421633, 'subsample_for_bin': 100000, 'min_child_samples': 355, 'reg_alpha': 0.5306122448979591, 'reg_lambda': 0.5918367346938775, 'colsample_bytree': 1.0, 'subsample': 0.7676767676767677, 'is_unbalance': False, 'metric': 'auc', 'verbose': 1, 'n_estimators': 17}",2
0.7165003116759038,"{'boosting_type': 'goss', 'num_leaves': 42, 'learning_rate': 0.03340371957847807, 'subsample_for_bin': 40000, 'min_child_samples': 250, 'reg_alpha': 0.061224489795918366, 'reg_lambda': 1.0, 'colsample_bytree': 0.6, 'subsample': 1.0, 'is_unbalance': False, 'metric': 'auc', 'verbose': 1, 'n_estimators': 28}",3
0.7144782913900041,"{'boosting_type': 'dart', 'num_leaves': 22, 'learning_rate': 0.02126173167264341, 'subsample_for_bin': 120000, 'min_child_samples': 240, 'reg_alpha': 0.6938775510204082, 'reg_lambda': 0.836734693877551, 'colsample_bytree': 0.9555555555555555, 'subsample': 0.8181818181818182, 'is_unbalance': True, 'metric': 'auc', 'verbose': 1, 'n_estimators': 291}",4
0.7025710429460217,"{'boosting_type': 'goss', 'num_leaves': 60, 'learning_rate': 0.038005888089776646, 'subsample_for_bin': 80000, 'min_child_samples': 90, 'reg_alpha': 0.8571428571428571, 'reg_lambda': 0.1020408163265306, 'colsample_bytree': 0.6, 'subsample': 1.0, 'is_unbalance': True, 'metric': 'auc', 'verbose': 1, 'n_estimators': 21}",5
0.7208792982932214,"{'boosting_type': 'gbdt', 'num_leaves': 56, 'learning_rate': 0.005741562072717555, 'subsample_for_bin': 100000, 'min_child_samples': 455, 'reg_alpha': 0.9591836734693877, 'reg_lambda': 0.44897959183673464, 'colsample_bytree': 0.6, 'subsample': 0.6111111111111112, 'is_unbalance': True, 'metric': 'auc', 'verbose': 1, 'n_estimators': 610}",6
0.6754376917343787,"{'boosting_type': 'gbdt', 'num_leaves': 98, 'learning_rate': 0.1344000510768803, 'subsample_for_bin': 200000, 'min_child_samples': 35, 'reg_alpha': 0.18367346938775508, 'reg_lambda': 0.6326530612244897, 'colsample_bytree': 0.8666666666666667, 'subsample': 0.7777777777777778, 'is_unbalance': False, 'metric': 'auc', 'verbose': 1, 'n_estimators': 10}",7
0.7036070696762599,"{'boosting_type': 'dart', 'num_leaves': 59, 'learning_rate': 0.014302977675878709, 'subsample_for_bin': 280000, 'min_child_samples': 35, 'reg_alpha': 0.673469387755102, 'reg_lambda': 0.7755102040816326, 'colsample_bytree': 0.7777777777777778, 'subsample': 0.9191919191919192, 'is_unbalance': False, 'metric': 'auc', 'verbose': 1, 'n_estimators': 289}",8
0.7154780241767139,"{'boosting_type': 'goss', 'num_leaves': 103, 'learning_rate': 0.006152620021796307, 'subsample_for_bin': 60000, 'min_child_samples': 360, 'reg_alpha': 0.6122448979591836, 'reg_lambda': 0.36734693877551017, 'colsample_bytree': 0.6888888888888889, 'subsample': 1.0, 'is_unbalance': False, 'metric': 'auc', 'verbose': 1, 'n_estimators': 160}",9
